,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,RMSE
20,2,20,,"{'loss': 17.5461368560791, 'status': 'ok'}","{'tid': 20, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [20], 'div_factor': [20], 'loss_fn': [20], 'max_lighting': [20], 'max_rotate': [20], 'max_warp': [20], 'max_zoom': [20], 'model': [20], 'mom1': [20], 'mom2': [20], 'p_affine': [20], 'size': [20], 'weight_dec': [20]}, 'vals': {'a': [0], 'div_factor': [79.02319872756209], 'loss_fn': [0], 'max_lighting': [0.03386251258110906], 'max_rotate': [236.2144032160113], 'max_warp': [0.45186278706993815], 'max_zoom': [2.6517342538062465], 'model': [2], 'mom1': [0.8269792083017725], 'mom2': [0.9859308455065745], 'p_affine': [0.6449440480771671], 'size': [2], 'weight_dec': [0.2782030408785707]}}",,,0,2022-01-09 14:27:14.536,2022-01-09 14:43:34.508,17.5461368560791
21,2,21,,"{'loss': 17.502971649169922, 'status': 'ok'}","{'tid': 21, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [21], 'div_factor': [21], 'loss_fn': [21], 'max_lighting': [21], 'max_rotate': [21], 'max_warp': [21], 'max_zoom': [21], 'model': [21], 'mom1': [21], 'mom2': [21], 'p_affine': [21], 'size': [21], 'weight_dec': [21]}, 'vals': {'a': [0], 'div_factor': [59.26660882072116], 'loss_fn': [0], 'max_lighting': [0.004571203196927683], 'max_rotate': [249.76873911612097], 'max_warp': [0.2607212687224874], 'max_zoom': [2.7663913662168693], 'model': [2], 'mom1': [0.8331543606256994], 'mom2': [0.9866694146828521], 'p_affine': [0.648370478550983], 'size': [2], 'weight_dec': [0.22428319302033672]}}",,,0,2022-01-09 14:43:34.520,2022-01-09 14:59:42.388,17.502971649169922
22,2,22,,"{'loss': 17.57277488708496, 'status': 'ok'}","{'tid': 22, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [22], 'div_factor': [22], 'loss_fn': [22], 'max_lighting': [22], 'max_rotate': [22], 'max_warp': [22], 'max_zoom': [22], 'model': [22], 'mom1': [22], 'mom2': [22], 'p_affine': [22], 'size': [22], 'weight_dec': [22]}, 'vals': {'a': [0], 'div_factor': [55.16716601012553], 'loss_fn': [0], 'max_lighting': [0.13298887300907283], 'max_rotate': [244.70296887669298], 'max_warp': [0.0182997194931932], 'max_zoom': [2.9709001043790293], 'model': [2], 'mom1': [0.8476907014698187], 'mom2': [0.9876903383819114], 'p_affine': [0.6072831140334127], 'size': [2], 'weight_dec': [0.25108754218493007]}}",,,0,2022-01-09 14:59:42.400,2022-01-09 15:15:49.242,17.57277488708496
23,2,23,,"{'loss': 17.56132698059082, 'status': 'ok'}","{'tid': 23, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [23], 'div_factor': [23], 'loss_fn': [23], 'max_lighting': [23], 'max_rotate': [23], 'max_warp': [23], 'max_zoom': [23], 'model': [23], 'mom1': [23], 'mom2': [23], 'p_affine': [23], 'size': [23], 'weight_dec': [23]}, 'vals': {'a': [0], 'div_factor': [76.69344684229804], 'loss_fn': [0], 'max_lighting': [0.08553211300617154], 'max_rotate': [235.85268559648995], 'max_warp': [0.21884650456605106], 'max_zoom': [2.664958266811245], 'model': [2], 'mom1': [0.8186991862286973], 'mom2': [0.9713218596676492], 'p_affine': [0.5743354874394173], 'size': [2], 'weight_dec': [0.19858494394283094]}}",,,0,2022-01-09 15:15:49.254,2022-01-09 15:32:00.139,17.56132698059082
24,2,24,,"{'loss': 17.619384765625, 'status': 'ok'}","{'tid': 24, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [24], 'div_factor': [24], 'loss_fn': [24], 'max_lighting': [24], 'max_rotate': [24], 'max_warp': [24], 'max_zoom': [24], 'model': [24], 'mom1': [24], 'mom2': [24], 'p_affine': [24], 'size': [24], 'weight_dec': [24]}, 'vals': {'a': [0], 'div_factor': [58.679704772414816], 'loss_fn': [0], 'max_lighting': [0.23706668367482017], 'max_rotate': [244.56184931812447], 'max_warp': [0.010933154887176999], 'max_zoom': [2.7878522781401256], 'model': [2], 'mom1': [0.8207048107491324], 'mom2': [0.9130864579539503], 'p_affine': [0.6864308707975354], 'size': [2], 'weight_dec': [0.2697693233009346]}}",,,0,2022-01-09 15:32:00.151,2022-01-09 15:48:04.981,17.619384765625
25,2,25,,"{'loss': 17.515745162963867, 'status': 'ok'}","{'tid': 25, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [25], 'div_factor': [25], 'loss_fn': [25], 'max_lighting': [25], 'max_rotate': [25], 'max_warp': [25], 'max_zoom': [25], 'model': [25], 'mom1': [25], 'mom2': [25], 'p_affine': [25], 'size': [25], 'weight_dec': [25]}, 'vals': {'a': [0], 'div_factor': [99.77751055742729], 'loss_fn': [0], 'max_lighting': [0.009753572965867142], 'max_rotate': [205.35009046187324], 'max_warp': [0.1410428508734977], 'max_zoom': [2.484074949786751], 'model': [2], 'mom1': [0.7412530306131146], 'mom2': [0.9717102431251328], 'p_affine': [0.6018491881090673], 'size': [2], 'weight_dec': [0.3830128856349141]}}",,,0,2022-01-09 15:48:04.993,2022-01-09 16:04:44.048,17.515745162963867
26,2,26,,"{'loss': 17.460851669311523, 'status': 'ok'}","{'tid': 26, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [26], 'div_factor': [26], 'loss_fn': [26], 'max_lighting': [26], 'max_rotate': [26], 'max_warp': [26], 'max_zoom': [26], 'model': [26], 'mom1': [26], 'mom2': [26], 'p_affine': [26], 'size': [26], 'weight_dec': [26]}, 'vals': {'a': [0], 'div_factor': [1.6043067786085103], 'loss_fn': [0], 'max_lighting': [0.2391272797023367], 'max_rotate': [208.78583621669668], 'max_warp': [0.10510357270731724], 'max_zoom': [2.4716600773278135], 'model': [1], 'mom1': [0.7412407050621035], 'mom2': [0.9707736130395528], 'p_affine': [0.5694889423615632], 'size': [2], 'weight_dec': [0.3806114553011142]}}",,,0,2022-01-09 16:04:44.061,2022-01-09 16:20:14.863,17.460851669311523
27,2,27,,"{'loss': 17.525604248046875, 'status': 'ok'}","{'tid': 27, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [27], 'div_factor': [27], 'loss_fn': [27], 'max_lighting': [27], 'max_rotate': [27], 'max_warp': [27], 'max_zoom': [27], 'model': [27], 'mom1': [27], 'mom2': [27], 'p_affine': [27], 'size': [27], 'weight_dec': [27]}, 'vals': {'a': [0], 'div_factor': [5.858170603614511], 'loss_fn': [0], 'max_lighting': [0.25184249209388093], 'max_rotate': [144.2985318064484], 'max_warp': [0.10255886261826788], 'max_zoom': [2.77532809570345], 'model': [1], 'mom1': [0.7265398581539243], 'mom2': [0.9600997698873615], 'p_affine': [0.5253273834718387], 'size': [2], 'weight_dec': [0.18560636368127673]}}",,,0,2022-01-09 16:20:14.875,2022-01-09 16:35:45.947,17.525604248046875
28,2,28,,"{'loss': 17.583362579345703, 'status': 'ok'}","{'tid': 28, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [28], 'div_factor': [28], 'loss_fn': [28], 'max_lighting': [28], 'max_rotate': [28], 'max_warp': [28], 'max_zoom': [28], 'model': [28], 'mom1': [28], 'mom2': [28], 'p_affine': [28], 'size': [28], 'weight_dec': [28]}, 'vals': {'a': [0], 'div_factor': [15.315905496461582], 'loss_fn': [0], 'max_lighting': [0.416664574019164], 'max_rotate': [353.3651739332836], 'max_warp': [0.24580533209616193], 'max_zoom': [2.4063677277297133], 'model': [1], 'mom1': [0.803834860616856], 'mom2': [0.9096923699657377], 'p_affine': [0.706178672020972], 'size': [2], 'weight_dec': [0.32288900864250036]}}",,,0,2022-01-09 16:35:45.960,2022-01-09 16:51:29.087,17.583362579345703
29,2,29,,"{'loss': 17.521713256835938, 'status': 'ok'}","{'tid': 29, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [29], 'div_factor': [29], 'loss_fn': [29], 'max_lighting': [29], 'max_rotate': [29], 'max_warp': [29], 'max_zoom': [29], 'model': [29], 'mom1': [29], 'mom2': [29], 'p_affine': [29], 'size': [29], 'weight_dec': [29]}, 'vals': {'a': [0], 'div_factor': [28.94485232914341], 'loss_fn': [0], 'max_lighting': [0.08692066774248747], 'max_rotate': [268.5028900085912], 'max_warp': [0.05932937266743724], 'max_zoom': [2.85265268624758], 'model': [1], 'mom1': [0.7535710525303156], 'mom2': [0.9780301796329024], 'p_affine': [0.3910153428314854], 'size': [2], 'weight_dec': [0.433538159004604]}}",,,0,2022-01-09 16:51:29.099,2022-01-09 17:07:01.877,17.521713256835938
